epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,113.88,0.6529,4.16776,0.71549,0.63463,1.15207,0.9183,0.5,0.63245,0.31628,0,0,0,0,2.03691,4.71749,0.71497,2.37861,2.64758,0.000395658,0.000395658,0.000395658
29,118.699,0.66577,4.72372,0.70938,0.57561,1.09584,0.89423,0.5,0.495,0.3215,0,0,0,0,1.69957,4.69402,0.71224,2.55881,2.27269,0.000404768,0.000404768,0.000404768
30,123.163,0.72375,4.64913,0.70529,0.60531,1.15794,0.89423,0.5,0.495,0.3215,0,0,0,0,1.69957,4.69402,0.71224,2.55881,2.27269,0.000413482,0.000413482,0.000413482
31,127.252,0.68722,3.67927,0.72217,0.63688,1.17538,0.92562,0.5,0.495,0.33375,0,0,0,0,1.5901,4.77227,0.71032,2.38307,2.13177,0.0004218,0.0004218,0.0004218
32,131.215,0.61297,4.55453,0.67685,0.59975,1.08794,0.92562,0.5,0.495,0.33375,0,0,0,0,1.5901,4.77227,0.71032,2.38307,2.13177,0.000429722,0.000429722,0.000429722
33,135.489,0.68657,4.35598,0.70797,0.68398,1.20955,0.86731,0.5,0.495,0.346,0.09954,0.1742,0.035,0.007,1.66592,4.83681,0.71249,2.56703,2.05063,0.000437248,0.000437248,0.000437248
34,139.883,0.77441,4.39359,0.70382,0.75309,1.20678,0.86731,0.5,0.495,0.346,0.09954,0.1742,0.035,0.007,1.66592,4.83681,0.71249,2.56703,2.05063,0.000444378,0.000444378,0.000444378
35,144.12,0.88064,3.90824,0.69547,0.75044,1.20528,0.64884,0.5,0.55687,0.37946,0,0,0,0,1.45444,4.84806,0.70948,2.06606,1.95962,0.000451112,0.000451112,0.000451112
36,148.241,0.67374,3.60403,0.69131,0.57142,1.09764,0.64884,0.5,0.55687,0.37946,0,0,0,0,1.45444,4.84806,0.70948,2.06606,1.95962,0.00045745,0.00045745,0.00045745
37,152.521,0.51899,3.97181,0.71857,0.45487,1.00448,0.8852,0.5,0.57087,0.32757,0.19648,0.25,0.049,0.0147,1.36172,4.87933,0.70308,2.32329,1.92445,0.000463392,0.000463392,0.000463392
38,156.701,0.53177,3.95616,0.70207,0.48072,1.02957,0.8852,0.5,0.57087,0.32757,0.19648,0.25,0.049,0.0147,1.36172,4.87933,0.70308,2.32329,1.92445,0.000468938,0.000468938,0.000468938
39,160.957,0.65431,3.78252,0.69603,0.59788,1.14794,0.96977,0.5,0.54625,0.34913,0.00676,0.25,0.0049,0.00049,1.59983,4.68874,0.70845,2.64904,2.34492,0.000474088,0.000474088,0.000474088
40,165.013,0.55168,3.68943,0.68943,0.56231,1.06088,0.96977,0.5,0.54625,0.34913,0.00676,0.25,0.0049,0.00049,1.59983,4.68874,0.70845,2.64904,2.34492,0.000478842,0.000478842,0.000478842
41,169.516,0.89263,2.24164,0.68717,0.80821,1.29969,0.98017,0.5,0.52909,0.27907,0.49009,0.25,0.14523,0.01452,2.0605,4.63606,0.71662,2.55326,2.64174,0.0004832,0.0004832,0.0004832
42,174.268,0.6303,3.69992,0.70169,0.50232,1.0476,0.98017,0.5,0.52909,0.27907,0.49009,0.25,0.14523,0.01452,2.0605,4.63606,0.71662,2.55326,2.64174,0.000487162,0.000487162,0.000487162
43,178.683,0.74212,3.34903,0.69651,0.61999,1.11833,0.98008,0.5,0.53667,0.28336,0.49004,0.25,0.15028,0.01503,1.74362,4.62271,0.72592,2.41181,2.27227,0.000490728,0.000490728,0.000490728
