epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,191.217,1.22077,2.78584,0.6026,0.64972,1.70293,0.96836,0.75,0.81,0.411,0.96836,0.75,0.75305,0.17135,1.50262,3.50689,0.59404,0.63219,2.20672,0.0014654,0.0014654,0.0014654
29,198.303,1.15626,2.65281,0.6019,0.62021,1.64865,0.96836,0.75,0.81,0.411,0.96836,0.75,0.75305,0.17135,1.50262,3.50689,0.59404,0.63219,2.20672,0.0014456,0.0014456,0.0014456
30,205.065,0.82847,2.58832,0.6159,0.55954,1.28555,0.98089,0.75,0.75879,0.50125,0.98089,0.75,0.745,0.23687,1.33035,3.49003,0.62615,0.69919,1.83625,0.0014258,0.0014258,0.0014258
31,211.624,0.82289,2.76809,0.61391,0.54287,1.45384,0.98089,0.75,0.75879,0.50125,0.98089,0.75,0.745,0.23687,1.33035,3.49003,0.62615,0.69919,1.83625,0.001406,0.001406,0.001406
32,218.572,1.03301,2.61854,0.61452,0.65329,1.61956,0.98089,0.75,0.75879,0.50125,0.98089,0.75,0.745,0.23687,1.33035,3.49003,0.62615,0.69919,1.83625,0.0013862,0.0013862,0.0013862
33,225.058,1.00697,2.66559,0.6157,0.65573,1.61238,0.98089,0.75,0.75879,0.50125,0.98089,0.75,0.745,0.23687,1.33035,3.49003,0.62615,0.69919,1.83625,0.0013664,0.0013664,0.0013664
34,232.383,0.94546,2.42727,0.61132,0.59462,1.66062,0.96816,0.75,0.82773,0.49699,0.96816,0.75,0.815,0.20411,1.21556,3.46402,0.60025,0.64804,1.8899,0.0013466,0.0013466,0.0013466
35,239.437,0.81866,2.53428,0.60127,0.54019,1.37137,0.96816,0.75,0.82773,0.49699,0.96816,0.75,0.815,0.20411,1.21556,3.46402,0.60025,0.64804,1.8899,0.0013268,0.0013268,0.0013268
36,246.133,0.89209,2.35528,0.60919,0.60042,1.53864,0.96816,0.75,0.82773,0.49699,0.96816,0.75,0.815,0.20411,1.21556,3.46402,0.60025,0.64804,1.8899,0.001307,0.001307,0.001307
37,252.679,0.83848,2.53958,0.59934,0.5688,1.4343,0.96816,0.75,0.82773,0.49699,0.96816,0.75,0.815,0.20411,1.21556,3.46402,0.60025,0.64804,1.8899,0.0012872,0.0012872,0.0012872
38,259.111,0.83579,2.5616,0.59435,0.59358,1.50096,0.95295,0.5,0.64825,0.29017,1,0.60208,0.7334,0.13734,1.81533,3.77404,0.58234,1.2879,3.29107,0.0012674,0.0012674,0.0012674
39,265.432,0.9126,2.36868,0.59016,0.59574,1.4742,0.95295,0.5,0.64825,0.29017,1,0.60208,0.7334,0.13734,1.81533,3.77404,0.58234,1.2879,3.29107,0.0012476,0.0012476,0.0012476
40,272.003,0.8207,2.37892,0.57092,0.53584,1.43669,0.95295,0.5,0.64825,0.29017,1,0.60208,0.7334,0.13734,1.81533,3.77404,0.58234,1.2879,3.29107,0.0012278,0.0012278,0.0012278
41,279.036,1.11653,2.60379,0.58472,0.73879,1.71312,0.95295,0.5,0.64825,0.29017,1,0.60208,0.7334,0.13734,1.81533,3.77404,0.58234,1.2879,3.29107,0.001208,0.001208,0.001208
42,286.083,0.96651,2.56909,0.58036,0.61492,1.54525,0.82948,0.61056,0.67533,0.43241,0.39491,0.5,0.26944,0.05568,1.40006,4.09496,0.57949,0.88703,2.25058,0.0011882,0.0011882,0.0011882
43,292.787,0.91147,2.60842,0.59039,0.60628,1.43949,0.82948,0.61056,0.67533,0.43241,0.39491,0.5,0.26944,0.05568,1.40006,4.09496,0.57949,0.88703,2.25058,0.0011684,0.0011684,0.0011684
44,299.508,0.8464,2.51897,0.59179,0.64131,1.48466,0.82948,0.61056,0.67533,0.43241,0.39491,0.5,0.26944,0.05568,1.40006,4.09496,0.57949,0.88703,2.25058,0.0011486,0.0011486,0.0011486
45,306.385,0.8927,2.50028,0.59461,0.58624,1.51592,0.82948,0.61056,0.67533,0.43241,0.39491,0.5,0.26944,0.05568,1.40006,4.09496,0.57949,0.88703,2.25058,0.0011288,0.0011288,0.0011288
46,313.199,0.81347,2.55019,0.57613,0.57239,1.42621,0.71606,0.75,0.68831,0.50131,0.54205,0.5,0.44957,0.09938,1.01703,3.78592,0.55416,1.00316,1.65401,0.001109,0.001109,0.001109
